Iteration 181500, err: 0.9018443563691915, h: 5.950706742874646e-06
Iteration 182000, err: 0.9297627592416934, h: 6.132481288052465e-06
Iteration 182500, err: 0.9994411123494461, h: 6.58944328556536e-06
Iteration 183000, err: 1.0362244397386438, h: 4.0612599422645285e-06
Iteration 183500, err: 1.1289135698670083, h: 4.329062461830943e-06
Iteration 184000, err: 1.1550243157647646, h: 4.402200844464305e-06
Iteration 184500, err: 1.2193544553771745, h: 4.583026932024809e-06
Iteration 185000, err: 1.386519070085768, h: 5.044614122140938e-06
Iteration 185500, err: 1.4785331586393902, h: 5.291585057570093e-06
Iteration 186000, err: 0.9018443341530091, h: 5.929583828860722e-06
Iteration 186500, err: 0.9297627326611422, h: 6.110747136282696e-06
Iteration 187000, err: 0.9994410765705305, h: 6.566126038025597e-06
Iteration 187500, err: 1.036224398397591, h: 4.0469113336098685e-06
Iteration 188000, err: 1.1289135136372432, h: 4.313791540807389e-06
Iteration 188500, err: 1.1550242544687, h: 4.386696157181723e-06
Iteration 189000, err: 1.2193543818169201, h: 4.566910534554087e-06
Iteration 189500, err: 1.3865189640649591, h: 5.026902145326767e-06
Iteration 190000, err: 1.4785330316265628, h: 5.273034891521778e-06
Iteration 190500, err: 0.9018443118639343, h: 5.908829418633614e-06
Iteration 191000, err: 0.9297627068375689, h: 6.0893919390238814e-06
Iteration 191500, err: 0.9994410413543673, h: 6.543215118670305e-06
Iteration 192000, err: 1.0362243573045324, h: 4.032812625002506e-06
Iteration 192500, err: 1.1289134586856213, h: 4.298786434260258e-06
Iteration 193000, err: 1.155024194544797, h: 4.371461203212663e-06
Iteration 193500, err: 1.219354309570057, h: 4.551074356582916e-06
Iteration 194000, err: 1.3865188598326441, h: 5.009497959920166e-06
Iteration 194500, err: 1.4785329063886996, h: 5.254806904993943e-06
Iteration 195000, err: 0.9018442900244827, h: 5.888435272102403e-06
Iteration 195500, err: 0.9297626812115807, h: 6.068407230448803e-06
Iteration 196000, err: 0.9994410068067008, h: 6.520701460776339e-06
Iteration 196500, err: 1.0362243171593466, h: 4.0189582456525e-06
Iteration 197000, err: 1.1289134044323885, h: 4.284041223834934e-06
Iteration 197500, err: 1.1550241354330344, h: 4.356489982726643e-06
Iteration 198000, err: 1.219354238868622, h: 4.535512171321153e-06
Iteration 198500, err: 1.3865187570248845, h: 4.992394734997428e-06
Iteration 199000, err: 1.4785327831212536, h: 5.23689395408586e-06
Iteration 199500, err: 0.901844268563466, h: 5.868393410424912e-06
Iteration 200000, err: 0.929762655902062, h: 6.047784814198983e-06
Iteration 200500, err: 0.9994409726073032, h: 6.498576284477117e-06
Iteration 201000, err: 1.036224277578471, h: 4.005342801175543e-06
Iteration 201500, err: 1.1289133511096008, h: 4.269550176630694e-06
Iteration 202000, err: 1.1550240773751057, h: 4.341776685023806e-06
Iteration 202500, err: 1.2193541687732188, h: 4.520217948705515e-06
Iteration 203000, err: 1.3865186562031668, h: 4.97558585208281e-06
Iteration 203500, err: 1.4785326624804795, h: 5.21928911938038e-06
Iteration 204000, err: 0.9018442474587092, h: 5.848696104482369e-06
Iteration 204500, err: 0.9297626312869521, h: 6.027516749122899e-06
Iteration 205000, err: 0.9994409393126906, h: 6.476831083575062e-06
Iteration 205500, err: 1.0362242386017924, h: 3.9919610658001604e-06
Iteration 206000, err: 1.12891329890756, h: 4.25530773965929e-06
